"","ID","type","places"
"294","2015.a.1.3.lightning.3.5","lightning","Japan"
"295","2015.a.1.3.lightning.3.6","lightning","c(""Japan"", ""Russia"")"
"296","2015.a.1.3.lightning.3.7","lightning","c(""Liaodong"", ""Japan"")"
"297","2015.a.1.3.lightning.3.8","lightning","New Hampshire"
"298","2015.a.1.4.1","tossup","c(""Chippenham"", ""Edington"")"
"299","2015.a.1.4.2","tossup","Washington"
"300","2015.a.1.4.3","tossup","list()"
"301","2015.a.1.4.4","tossup","c(""New Jersey"", ""Tennessee"", ""America"")"
"302","2015.a.1.4.5","tossup","c(""Taku"", ""the H. M. S. Arrow"", ""China"", ""Britain"")"
"303","2015.a.1.4.6","tossup","list()"
"304","2015.a.1.4.7","tossup","list()"
"305","2015.a.1.4.8","tossup","c(""Cuchulain"", ""Dublin"")"
"306","2015.a.2.1.1","tossup","c(""Russia"", ""Britain"", ""Britain"")"
"307","2015.a.2.1.2","tossup","New Orleans"
"308","2015.a.2.1.3","tossup","c(""Crito"", ""Republic"")"
"309","2015.a.2.1.4","tossup","c(""Charlotte"", ""France"")"
"310","2015.a.2.1.5","tossup","list()"
"311","2015.a.2.1.6","tossup","c(""Hejaz"", ""Islam"", ""Mecca"")"
"312","2015.a.2.1.7","tossup","list()"
"313","2015.a.2.1.8","tossup","c(""Jerusalem"", ""Berlin"")"
"314","2015.a.2.1.9","tossup","Talbot County"
"315","2015.a.2.1.10","tossup","c(""Saint Sylvia"", ""Ecumenical  Patriarch"", ""Britain"")"
"316","2015.a.2.2.1","tossup + bonus","list()"
"317","2015.a.2.2.2","tossup + bonus","c(""Israel"", ""DC"", ""Washington"", ""Colorado"")"
"318","2015.a.2.2.3","tossup + bonus","list()"
"319","2015.a.2.2.4","tossup + bonus","Massachusetts"
"320","2015.a.2.2.5","tossup + bonus","Grass"
"321","2015.a.2.2.6","tossup + bonus","c(""Tassilo"", ""Bavaria"", ""Pannonia"")"
"322","2015.a.2.2.7","tossup + bonus","list()"
"323","2015.a.2.2.8","tossup + bonus","c(""Canada"", ""Paris"")"
"324","2015.a.2.3.lightning.1.1","lightning","Cuba"
"325","2015.a.2.3.lightning.1.2","lightning","Cuba"
"326","2015.a.2.3.lightning.1.3","lightning","Cuba"
"327","2015.a.2.3.lightning.1.4","lightning","list()"
"328","2015.a.2.3.lightning.1.5","lightning","c(""U.S."", ""Cuba"")"
"329","2015.a.2.3.lightning.1.6","lightning","list()"
"330","2015.a.2.3.lightning.1.7","lightning","list()"
"331","2015.a.2.3.lightning.1.8","lightning","c(""U.S."", ""Cuba"")"
"332","2015.a.2.3.lightning.2.1","lightning","Massachusetts"
"333","2015.a.2.3.lightning.2.2","lightning","list()"
"334","2015.a.2.3.lightning.2.3","lightning","Yorktown"
"335","2015.a.2.3.lightning.2.4","lightning","West Point"
"336","2015.a.2.3.lightning.2.5","lightning","Camden"
"337","2015.a.2.3.lightning.2.6","lightning","list()"
"338","2015.a.2.3.lightning.2.7","lightning","Rhode Island"
"339","2015.a.2.3.lightning.2.8","lightning","South Carolina"
"340","2015.a.2.3.lightning.3.1","lightning","list()"
"341","2015.a.2.3.lightning.3.2","lightning","list()"
"342","2015.a.2.3.lightning.3.3","lightning","list()"
"343","2015.a.2.3.lightning.3.4","lightning","list()"
"344","2015.a.2.3.lightning.3.5","lightning","Peru"
"345","2015.a.2.3.lightning.3.6","lightning","Rhodesia"
"346","2015.a.2.3.lightning.3.7","lightning","Jordan"
"347","2015.a.2.3.lightning.3.8","lightning","St. Louis"
"348","2015.a.2.4.1","tossup","Lachrimae"
"349","2015.a.2.4.2","tossup","list()"
"350","2015.a.2.4.3","tossup","London"
"351","2015.a.2.4.4","tossup","U.S."
"352","2015.a.2.4.5","tossup","c(""Iran"", ""Guatemala"")"
"353","2015.a.2.4.6","tossup","Psycho"
"354","2015.a.2.4.7","tossup","list()"
"355","2015.a.2.4.8","tossup","c(""Whites"", ""Rome"")"
"356","2015.a.3.1.1","tossup","Chicago"
"357","2015.a.3.1.2","tossup","list()"
"358","2015.a.3.1.3","tossup","Manhattan"
"359","2015.a.3.1.4","tossup","list()"
"360","2015.a.3.1.5","tossup","list()"
"361","2015.a.3.1.6","tossup","US"
"362","2015.a.3.1.7","tossup","list()"
"363","2015.a.3.1.8","tossup","list()"
"364","2015.a.3.1.9","tossup","list()"
"365","2015.a.3.1.10","tossup","list()"
"366","2015.a.3.2.1","tossup + bonus","list()"
"367","2015.a.3.2.2","tossup + bonus","Great Britain"
"368","2015.a.3.2.3","tossup + bonus","England"
"369","2015.a.3.2.4","tossup + bonus","c(""Bilbao"", ""Spain"")"
"370","2015.a.3.2.5","tossup + bonus","list()"
"371","2015.a.3.2.6","tossup + bonus","Arkansas"
"372","2015.a.3.2.7","tossup + bonus","list()"
"373","2015.a.3.2.8","tossup + bonus","Netherlands"
"374","2015.a.3.3.lightning.1.1","lightning","Jerusalem"
"375","2015.a.3.3.lightning.1.2","lightning","list()"
"376","2015.a.3.3.lightning.1.3","lightning","Jerusalem"
"377","2015.a.3.3.lightning.1.4","lightning","Malta"
"378","2015.a.3.3.lightning.1.5","lightning","list()"
"379","2015.a.3.3.lightning.1.6","lightning","the Kingdom of Jerusalem"
"380","2015.a.3.3.lightning.1.7","lightning","list()"
"381","2015.a.3.3.lightning.1.8","lightning","list()"
"382","2015.a.3.3.lightning.2.1","lightning","the United States"
"383","2015.a.3.3.lightning.2.2","lightning","US"
"384","2015.a.3.3.lightning.2.3","lightning","the Soviet Union"
"385","2015.a.3.3.lightning.2.4","lightning","c(""France"", ""Britain"")"
"386","2015.a.3.3.lightning.2.5","lightning","list()"
"387","2015.a.3.3.lightning.2.6","lightning","list()"
"388","2015.a.3.3.lightning.2.7","lightning","list()"
"389","2015.a.3.3.lightning.2.8","lightning","Massachusetts"
"390","2015.a.3.3.lightning.3.1","lightning","France"
"391","2015.a.3.3.lightning.3.2","lightning","list()"
"392","2015.a.3.3.lightning.3.3","lightning","Nebraska"
"393","2015.a.3.3.lightning.3.4","lightning","list()"
"394","2015.a.3.3.lightning.3.5","lightning","list()"
"395","2015.a.3.3.lightning.3.6","lightning","list()"
"396","2015.a.3.3.lightning.3.7","lightning","list()"
"397","2015.a.3.3.lightning.3.8","lightning","list()"
"398","2015.a.3.4.1","tossup","c(""Egypt"", ""India"")"
"399","2015.a.3.4.2","tossup","Brazil"
"400","2015.a.3.4.3","tossup","c(""North Carolina’s"", ""Omaha"")"
"401","2015.a.3.4.4","tossup","c(""Tashkent"", ""Jawaharlal"")"
"402","2015.a.3.4.5","tossup","c(""Wellington"", ""Portugal"")"
"403","2015.a.3.4.6","tossup","list()"
"404","2015.a.3.4.7","tossup","c(""Paris"", ""Lightborn"", ""Machiavelli"")"
"405","2015.a.3.4.8","tossup","c(""Antwerp"", ""Hamburg"")"
"406","2015.a.4.1.1","tossup","c(""Zurich"", ""Munster"")"
"407","2015.a.4.1.2","tossup","c(""Moravia"", ""Chapelle"", ""Habsburg"")"
"408","2015.a.4.1.3","tossup","Charlemagne"
"409","2015.a.4.1.4","tossup","New York City"
"410","2015.a.4.1.5","tossup","list()"
"411","2015.a.4.1.6","tossup","India"
"412","2015.a.4.1.7","tossup","c(""Southampton County"", ""Virginia"")"
"413","2015.a.4.1.8","tossup","Kentucky"
"414","2015.a.4.1.9","tossup","c(""U.S."", ""Virginia"")"
"415","2015.a.4.1.10","tossup","list()"
"416","2015.a.4.2.1","tossup + bonus","c(""West Germany"", ""the United States"", ""London"")"
"417","2015.a.4.2.2","tossup + bonus","list()"
"418","2015.a.4.2.3","tossup + bonus","Athens"
"419","2015.a.4.2.4","tossup + bonus","New York City"
"420","2015.a.4.2.5","tossup + bonus","list()"
"421","2015.a.4.2.6","tossup + bonus","c(""Utica"", ""Rome"")"
"422","2015.a.4.2.7","tossup + bonus","c(""Covadonga"", ""El Cid"", ""Ferdinand"", ""Spain"")"
"423","2015.a.4.2.8","tossup + bonus","list()"
"424","2015.a.4.3.lightning.1.1","lightning","France"
"425","2015.a.4.3.lightning.1.2","lightning","list()"
"426","2015.a.4.3.lightning.1.3","lightning","c(""Spain"", ""Austria"")"
"427","2015.a.4.3.lightning.1.4","lightning","Spain"
"428","2015.a.4.3.lightning.1.5","lightning","list()"
"429","2015.a.4.3.lightning.1.6","lightning","list()"
"430","2015.a.4.3.lightning.1.7","lightning","Oxfordshire"
"431","2015.a.4.3.lightning.1.8","lightning","list()"
"432","2015.a.4.3.lightning.2.1","lightning","India"
"433","2015.a.4.3.lightning.2.2","lightning","list()"
"434","2015.a.4.3.lightning.2.3","lightning","list()"
"435","2015.a.4.3.lightning.2.4","lightning","list()"
"436","2015.a.4.3.lightning.2.5","lightning","list()"
"437","2015.a.4.3.lightning.2.6","lightning","list()"
"438","2015.a.4.3.lightning.2.7","lightning","list()"
"439","2015.a.4.3.lightning.2.8","lightning","list()"
"440","2015.a.4.3.lightning.3.1","lightning","list()"
"441","2015.a.4.3.lightning.3.2","lightning","list()"
"442","2015.a.4.3.lightning.3.3","lightning","Athens"
"443","2015.a.4.3.lightning.3.4","lightning","Athens"
"444","2015.a.4.3.lightning.3.5","lightning","list()"
"445","2015.a.4.3.lightning.3.6","lightning","c(""Sparta"", ""Athens"")"
"446","2015.a.4.3.lightning.3.7","lightning","c(""Sparta"", ""Aegospotami"")"
"447","2015.a.4.3.lightning.3.8","lightning","c(""Athens"", ""Sparta"")"
"448","2015.a.4.4.1","tossup","the Byzantine Empire"
"449","2015.a.4.4.2","tossup","c(""The United Kingdom"", ""Special Administrative Region"", ""China"")"
"450","2015.a.4.4.3","tossup","Nicaragua"
"451","2015.a.4.4.4","tossup","c(""El Desdichado"", ""Wilfrid"", ""England"")"
"452","2015.a.4.4.5","tossup","list()"
"453","2015.a.4.4.6","tossup","Panama"
"454","2015.a.4.4.7","tossup","c(""Varna"", ""Vienna"", ""Magyar"", ""Austria"")"
"455","2015.a.4.4.8","tossup","Greenville"
"456","2015.a.5.1.1","tossup","Josephus"
"457","2015.a.5.1.2","tossup","c(""Alesia"", ""France"")"
"458","2015.a.5.1.3","tossup","list()"
"459","2015.a.5.1.4","tossup","list()"
"460","2015.a.5.1.5","tossup","c(""Turkey"", ""the United States"")"
"461","2015.a.5.1.6","tossup","list()"
"462","2015.a.5.1.7","tossup","Cuba"
"463","2015.a.5.1.8","tossup","Southwark"
"464","2015.a.5.1.9","tossup","c(""America"", ""Mexico"", ""Florida"")"
"465","2015.a.5.1.10","tossup","Spain"
"466","2015.a.5.2.1","tossup + bonus","list()"
"467","2015.a.5.2.2","tossup + bonus","Belgium"
